month,weekday,hour,energy
1,0,0,145.54510576781507
1,0,1,183.67301513195918
1,0,2,152.02028529509425
1,0,3,169.20770270795185
1,0,4,241.52423453000586
1,0,5,201.76804759759008
1,0,6,387.7432081117651
1,0,7,476.2123113971593
1,0,8,375.5567303161898
1,0,9,453.8366098518235
1,0,10,351.11478408028194
1,0,11,375.3251406080518
1,0,12,508.67657147603
1,0,13,375.84295579299544
1,0,14,453.9470465303839
1,0,15,439.23833008467
1,0,16,326.65929096381853
1,0,17,366.2524106209801
1,0,18,660.7841343905673
1,0,19,516.3559887106363
1,0,20,419.4796427859202
1,0,21,355.29848717048685
1,0,22,247.48964439316313
1,0,23,171.46422312035426
1,1,0,189.02251726905098
1,1,1,173.9502637782702
1,1,2,190.3595883659938
1,1,3,181.9075141612959
1,1,4,264.79181199882345
1,1,5,231.47134000358102
1,1,6,347.97975294021774
1,1,7,351.7080009905424
1,1,8,466.1472254983506
1,1,9,518.9110552295076
1,1,10,501.6605729999516
1,1,11,499.57217618751986
1,1,12,926.5047801365135
1,1,13,467.419691997942
1,1,14,419.7142383532314
1,1,15,351.29500497841207
1,1,16,454.9133274552218
1,1,17,642.7719863107914
1,1,18,402.6733384843437
1,1,19,411.2684800602329
1,1,20,377.5537075184427
1,1,21,363.7617866938606
1,1,22,213.1357341295513
1,1,23,221.64499516475763
1,2,0,197.1922862235727
1,2,1,176.35580512431358
1,2,2,203.37248356945204
1,2,3,175.53504862899584
1,2,4,265.2406875841916
1,2,5,221.9787186180331
1,2,6,242.71115991629324
1,2,7,350.52120226177635
1,2,8,459.0862788197293
1,2,9,499.0624246989107
1,2,10,487.84611010790627
1,2,11,697.3420588212939
1,2,12,457.9841959018185
1,2,13,421.0490538408717
1,2,14,474.54164770865964
1,2,15,347.6534580503328
1,2,16,378.3212234820637
1,2,17,1110.3873248857074
1,2,18,725.3114627619477
1,2,19,685.6329301682133
1,2,20,810.279366809934
1,2,21,534.0592665378689
1,2,22,330.14086677421506
1,2,23,256.44795425587336
1,3,0,171.559836515854
1,3,1,189.57170959196714
1,3,2,192.0145288917496
1,3,3,188.38848091715158
1,3,4,262.91224607464585
1,3,5,208.0485750374084
1,3,6,293.773041173392
1,3,7,526.12355043974
1,3,8,532.8967537835089
1,3,9,655.4992695581102
1,3,10,466.7132076976301
1,3,11,388.7868607384171
1,3,12,489.7199338529346
1,3,13,630.7227761289291
1,3,14,356.8015529429048
1,3,15,316.3303357786848
1,3,16,279.59227260773264
1,3,17,312.3703488115169
1,3,18,272.51887112885504
1,3,19,308.0744935254465
1,3,20,272.56500112234767
1,3,21,265.05707874146646
1,3,22,207.53609279144092
1,3,23,220.13131704812008
1,4,0,199.4043039153919
1,4,1,158.5160506984199
1,4,2,190.79395819299788
1,4,3,157.41615439684813
1,4,4,166.58202003152726
1,4,5,342.1635099596912
1,4,6,221.85106048632824
1,4,7,645.739515111455
1,4,8,338.1527659814535
1,4,9,518.1663931500129
1,4,10,1244.1367042465095
1,4,11,669.5191143237629
1,4,12,321.84012108469295
1,4,13,581.8760597283856
1,4,14,319.46794850382696
1,4,15,296.9409241238977
1,4,16,369.9185263662509
1,4,17,390.15564098159825
1,4,18,299.19846848068767
1,4,19,370.17102972912727
1,4,20,382.6825794727052
1,4,21,331.2987680767398
1,4,22,260.9215354281892
1,4,23,153.51649713614813
1,5,0,199.99004419578714
1,5,1,138.0562811505878
