month,weekday,hour,energy
1,0,0,154.39837970974455
1,0,1,167.15934380362577
1,0,2,159.6237026614825
1,0,3,178.80511486176644
1,0,4,290.74453383421456
1,0,5,191.5659545381029
1,0,6,380.2860829108038
1,0,7,455.6452868881276
1,0,8,367.97753878371856
1,0,9,611.4215571553076
1,0,10,490.1189338577828
1,0,11,399.50051913192806
1,0,12,557.2350992902647
1,0,13,705.6513490313658
1,0,14,521.6883373958511
1,0,15,481.705171902988
1,0,16,514.2647304859528
1,0,17,509.4787099890305
1,0,18,699.5133442300967
1,0,19,559.5294112005577
1,0,20,591.2212373941355
1,0,21,378.353404715027
1,0,22,230.974466606422
1,0,23,176.70518510045562
1,1,0,177.35441280173063
1,1,1,174.74606130786003
1,1,2,187.50947230448674
1,1,3,186.44453452430238
1,1,4,253.34749399706524
1,1,5,263.94014479128725
1,1,6,327.4287941643966
1,1,7,344.6508714399623
1,1,8,572.5084318650904
1,1,9,633.4360522302359
1,1,10,524.7988820801822
1,1,11,553.1907935561516
1,1,12,907.0205806978781
1,1,13,649.1894905008938
1,1,14,452.4603072493727
1,1,15,348.98307410404965
1,1,16,527.459637099828
1,1,17,662.0938751382624
1,1,18,606.5516345296875
1,1,19,699.8426497807767
1,1,20,402.15141679686855
1,1,21,394.17280927534375
1,1,22,252.91735798646073
1,1,23,222.05610949292227
1,2,0,199.13718308114576
1,2,1,179.8708322966029
1,2,2,201.46630060295732
1,2,3,179.4478421400315
1,2,4,267.61806034533276
1,2,5,227.02720694849828
1,2,6,289.95458653227365
1,2,7,431.345603692185
1,2,8,471.3010681495375
1,2,9,622.9113847118741
1,2,10,869.8685983877738
1,2,11,690.9459088017534
1,2,12,554.5196915589634
1,2,13,414.71745762352623
1,2,14,473.2731780338138
1,2,15,330.3739096221013
1,2,16,462.00308496801136
1,2,17,1244.6459227559294
1,2,18,1169.771066944227
1,2,19,1121.1562459714776
1,2,20,1142.5879412357283
1,2,21,1016.3284117480758
1,2,22,433.90536355804323
1,2,23,246.00809185609035
1,3,0,176.5109680182537
1,3,1,188.65212729121325
1,3,2,190.83017749285173
1,3,3,185.75533691419017
1,3,4,246.9275153239651
1,3,5,212.8496437202745
1,3,6,315.9032852277242
1,3,7,477.53057928734245
1,3,8,526.0932033343835
1,3,9,711.8050221190379
1,3,10,433.3168734554859
1,3,11,363.07046971765504
1,3,12,601.2088504508612
